radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
155.338118,0.013,19.591261,0.091,NA,NA,0,NA,NA,0,NA,NA,0,18.278,0.16,1,17.294,0.173,1,NA,NA,0,NA,NA,0,NA,NA,0
155.339419,0.617,19.810204,0.524,16.045,0.053,4,16.857,0.181,4,NA,NA,0,16.471,0.051,5,15.76,0.093,5,15.455,0.074,5,NA,NA,0,NA,NA,0
155.342121,0.709,20.106818,0.86,NA,NA,0,NA,NA,0,NA,NA,0,17.523,0.095,4,16.765,0.034,4,16.271,0.234,3,NA,NA,0,NA,NA,0
155.350199,0.603,19.837297,0.714,16.183,0.04,2,17.096,0.063,2,NA,NA,0,16.687,0.098,5,15.625,0.023,5,15.136,0.109,5,NA,NA,0,NA,NA,0
155.36072,0.787,20.119086,0.557,16.834,0.161,2,17.45,0.106,2,NA,NA,0,16.964,0.118,5,16.523,0.166,5,16.326,0.236,3,NA,NA,0,NA,NA,0
155.360864,0.932,19.833817,0.638,16.576,0.091,1,17.61,0.141,1,NA,NA,0,17.121,0.081,5,16.341,0.074,5,15.783,0.173,4,NA,NA,0,NA,NA,0
155.362298,0.319,19.971521,0.178,NA,NA,0,NA,NA,0,NA,NA,0,17.763,0.004,2,17.417,0.101,2,NA,NA,0,NA,NA,0,NA,NA,0
155.364624,0.742,20.02893,0.744,16.741,0.054,3,17.563,0.242,3,NA,NA,0,17.193,0.231,4,16.234,0.026,4,15.984,0.243,4,NA,NA,0,NA,NA,0
155.371073,0.666,19.88784,0.765,16.764,0.075,3,17.436,0.314,3,NA,NA,0,17.184,0.104,4,16.722,0.181,4,16.292,0.198,1,NA,NA,0,NA,NA,0
155.378106,0.46,19.784251,0.455,NA,NA,0,NA,NA,0,NA,NA,0,17.83,0.013,2,16.484,0.077,3,15.616,0.073,3,NA,NA,0,NA,NA,0
155.380646,0.369,19.720763,0.359,16.866,0.111,2,17.737,0.171,2,NA,NA,0,17.618,0.117,2,16.52,0.072,2,16.107,0.026,2,NA,NA,0,NA,NA,0
155.381751,0.23,20.034644,0.074,NA,NA,0,NA,NA,0,NA,NA,0,18.072,0.143,1,17.362,0.195,1,NA,NA,0,NA,NA,0,NA,NA,0
155.382211,0.876,19.831699,0.736,16.947,0.128,1,17.906,0.186,1,NA,NA,0,17.622,0.152,4,16.439,0.069,4,16.159,0.152,3,NA,NA,0,NA,NA,0
155.382287,0.45,20.069821,0.365,15.608,0.063,6,16.322,0.177,6,NA,NA,0,15.94,0.07,5,15.405,0.076,5,15.194,0.05,5,NA,NA,0,NA,NA,0
155.395941,0.455,20.009362,0.206,14.866,0.033,6,15.441,0.176,6,NA,NA,0,15.153,0.066,5,14.713,0.042,5,14.566,0.03,5,NA,NA,0,NA,NA,0
155.412316,0.474,19.851764,0.678,16.275,0.028,2,17.4,0.117,2,NA,NA,0,16.922,0.055,5,15.941,0.07,5,15.485,0.122,5,NA,NA,0,NA,NA,0
155.419486,0.915,19.932788,1.069,NA,NA,0,NA,NA,0,NA,NA,0,17.811,0.103,3,16.583,0.013,3,16.055,0.402,3,NA,NA,0,NA,NA,0
155.422392,0.502,19.895249,0.457,15.541,0.052,6,16.116,0.179,6,NA,NA,0,15.824,0.045,5,15.335,0.06,5,15.212,0.041,5,NA,NA,0,NA,NA,0
