radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
155.090264,0.795,19.623047,0.713,16.748,0.006,2,17.516,0.049,2,NA,NA,0,17.071,0.147,4,16.48,0.084,4,16.12,0.221,3,NA,NA,0,NA,NA,0
155.094846,0.443,19.99951,0.483,15.357,0.033,6,15.919,0.157,6,NA,NA,0,15.587,0.085,5,15.189,0.066,5,15.065,0.035,5,NA,NA,0,NA,NA,0
155.0954,0.143,19.5735,0.175,12.964,0.043,6,13.958,0.214,6,NA,NA,0,13.527,0.401,6,12.407,0.464,6,12.206,0.317,6,12.218,0.103,3,NA,NA,0
155.095502,0.562,20.234001,0.798,17.59,0.225,1,18.029,0.212,1,NA,NA,0,17.839,0.124,1,17.403,0.204,1,NA,NA,0,NA,NA,0,NA,NA,0
155.100044,0.635,19.85201,0.632,15.985,0.042,2,16.9,0.004,2,NA,NA,0,16.436,0.035,5,15.565,0.076,5,15.379,0.187,5,NA,NA,0,NA,NA,0
155.103755,0.648,19.563864,0.532,16.566,0.096,3,17.081,0.098,3,NA,NA,0,16.794,0.058,4,16.481,0.065,4,16.415,0.262,2,NA,NA,0,NA,NA,0
155.105054,0.553,20.088534,0.298,15.241,0.034,6,16.236,0.099,6,NA,NA,0,15.736,0.093,5,14.889,0.04,5,14.559,0.053,5,NA,NA,0,NA,NA,0
155.106327,0.141,19.634836,0.124,11.635,0.031,6,12.212,0.192,6,NA,NA,0,11.982,0.436,6,11.258,0.483,6,11.234,0.306,6,11.328,0.092,3,NA,NA,0
155.110751,0.34,19.983784,0.336,14.562,0.033,6,15.232,0.211,6,NA,NA,0,14.949,0.444,6,14.086,0.515,6,14.058,0.337,6,NA,NA,0,NA,NA,0
155.111174,0.538,20.244707,0.405,14.34,0.037,6,15.211,0.256,6,NA,NA,0,14.885,0.567,6,13.987,0.029,5,13.611,0.42,6,13.54,0.187,1,NA,NA,0
155.11182,0.459,19.883108,0.42,14.436,0.046,6,15.276,0.178,6,NA,NA,0,14.836,0.049,5,14.184,0.034,5,13.962,0.079,5,13.426,0.183,1,NA,NA,0
155.118276,0.508,20.196542,0.585,NA,NA,0,NA,NA,0,NA,NA,0,18.009,0.049,2,16.781,0.11,2,16.198,0.026,2,NA,NA,0,NA,NA,0
155.121019,0.275,19.737694,0.327,13.666,0.038,6,14.372,0.221,6,NA,NA,0,14.102,0.544,3,13.042,0.63,3,13.159,0.383,3,13.173,0.118,3,NA,NA,0
155.122223,0.449,19.542411,0.614,16.716,0.122,2,17.517,0.074,2,NA,NA,0,17.188,0.039,3,16.425,0.067,3,15.921,0.189,3,NA,NA,0,NA,NA,0
155.123019,0.763,19.552658,0.793,17.558,0.22,1,18.212,0.246,1,NA,NA,0,17.69,0.289,4,17.054,0.338,4,NA,NA,0,NA,NA,0,NA,NA,0
155.123685,0.835,19.871583,0.273,NA,NA,0,NA,NA,0,NA,NA,0,17.378,0.123,3,16.093,0.196,3,15.173,0.131,3,NA,NA,0,NA,NA,0
155.12686,0.478,20.054751,0.496,16.538,0.089,1,17.872,0.19,1,NA,NA,0,17.221,0.061,4,16.006,0.07,5,15.506,0.111,5,NA,NA,0,NA,NA,0
155.137539,0.406,19.907735,0.399,15.524,0.068,6,16.339,0.204,6,NA,NA,0,15.899,0.044,5,15.268,0.054,5,15.077,0.032,5,NA,NA,0,NA,NA,0
155.138966,0.372,19.746908,0.312,NA,NA,0,NA,NA,0,NA,NA,0,17.342,0.102,3,16.915,0.15,3,16.253,0.097,2,NA,NA,0,NA,NA,0
155.139003,0.537,19.900733,0.477,16.068,0.045,4,16.733,0.174,4,NA,NA,0,16.405,0.082,5,15.924,0.075,5,15.73,0.107,5,NA,NA,0,NA,NA,0
155.140899,1,20.173189,1.044,16.95,0.123,1,17.73,0.158,1,NA,NA,0,17.368,0.144,4,16.76,0.139,4,16.292,0.171,2,NA,NA,0,NA,NA,0
155.14983,0.268,19.554052,0.5,NA,NA,0,NA,NA,0,NA,NA,0,17.862,0.121,1,17.177,0.156,1,NA,NA,0,NA,NA,0,NA,NA,0
155.149986,0.228,19.68383,0.16,12.731,0.038,6,13.716,0.22,6,NA,NA,0,13.3,0.422,6,12.38,0.022,3,12.013,0.313,6,12.034,0.065,3,NA,NA,0
155.150155,0.317,20.153514,0.366,14.853,0.053,6,15.641,0.223,6,NA,NA,0,15.234,0.096,5,14.589,0.037,5,14.35,0.018,5,NA,NA,0,NA,NA,0
155.155239,0.663,19.997103,0.486,14.492,0.03,5,15.251,0.204,5,NA,NA,0,15.122,0.518,4,13.775,0.61,3,13.817,0.36,4,13.629,0.216,1,NA,NA,0
155.156053,0.654,20.205043,0.39,16.196,0.154,6,16.921,0.285,6,NA,NA,0,16.562,0.155,5,15.98,0.073,5,15.838,0.161,5,NA,NA,0,NA,NA,0
155.158476,0.185,19.958358,0.184,12.764,0.036,6,13.594,0.21,6,NA,NA,0,13.249,0.444,6,12.252,0.473,6,12.136,0.333,6,12.176,0.145,3,NA,NA,0
155.165336,0.424,20.280387,0.567,NA,NA,0,NA,NA,0,NA,NA,0,17.852,0.123,1,17.374,0.205,1,NA,NA,0,NA,NA,0,NA,NA,0
155.166934,0.446,20.252837,0.467,17.231,0.173,1,17.452,0.125,1,NA,NA,0,17.442,0.048,2,17.167,0.25,3,NA,NA,0,NA,NA,0,NA,NA,0
155.17307,0.607,20.155105,0.717,16.713,0.107,1,17.948,0.202,1,NA,NA,0,17.437,0.076,2,16.252,0.048,2,16.051,0.162,2,NA,NA,0,NA,NA,0
155.177168,0.91,19.718254,0.745,17.732,0.251,1,17.931,0.193,1,NA,NA,0,17.668,0.105,1,17.003,0.135,1,NA,NA,0,NA,NA,0,NA,NA,0
155.1786,0.255,19.499548,0.24,14.675,0.035,6,15.265,0.204,6,NA,NA,0,14.929,0.062,5,14.51,0.03,5,14.373,0.026,5,NA,NA,0,NA,NA,0
155.178746,0.722,20.277,0.475,16.171,0.006,5,16.883,0.318,5,NA,NA,0,16.493,0.06,5,15.883,0.075,5,15.708,0.109,5,NA,NA,0,NA,NA,0
155.179078,0.586,19.997918,0.417,13.979,0.026,6,14.837,0.225,6,NA,NA,0,14.463,0.436,6,13.466,0.467,6,13.387,0.325,6,13.341,0.223,3,NA,NA,0
155.179803,0.738,20.038236,0.533,16.935,0.142,1,17.853,0.187,1,NA,NA,0,17.364,0.235,3,16.349,0.019,2,15.997,0.042,2,NA,NA,0,NA,NA,0
155.181712,0.216,19.822932,0.202,NA,NA,0,NA,NA,0,NA,NA,0,18.018,0.142,1,16.858,0.135,1,15.858,0.143,1,NA,NA,0,NA,NA,0
155.182705,0.202,19.575259,0.345,13.168,0.039,6,13.987,0.19,6,NA,NA,0,13.678,0.47,6,12.892,0.029,5,12.535,0.34,6,12.569,0.121,3,NA,NA,0
155.183773,0.621,19.471299,0.33,15.974,0.041,5,16.897,0.168,5,NA,NA,0,16.372,0.045,3,15.637,0.054,3,15.274,0.106,3,NA,NA,0,NA,NA,0
155.188205,0.422,19.813025,0.328,13.48,0.036,6,14.356,0.195,6,NA,NA,0,14.002,0.405,6,12.961,0.446,6,12.8,0.304,6,12.925,0.074,3,NA,NA,0
155.188349,0.455,20.222688,0.558,NA,NA,0,NA,NA,0,NA,NA,0,17.677,0.175,2,17.174,0.071,3,16.6,0.301,1,NA,NA,0,NA,NA,0
155.189941,0.19,20.044564,0.112,10.672,0.121,9,11.78,0.234,6,NA,NA,0,11.313,0.434,6,10.363,0.034,8,10.029,0.051,7,9.9,0.139,3,NA,NA,0
155.191155,0.453,19.787888,0.304,16.646,0.077,2,17.389,0.139,2,NA,NA,0,16.986,0.178,4,16.702,0.168,4,16.353,0.202,1,NA,NA,0,NA,NA,0
155.198274,0.274,20.001742,0.364,15.786,0.031,4,16.757,0.062,3,NA,NA,0,16.263,0.069,5,15.445,0.068,5,15.209,0.114,5,NA,NA,0,NA,NA,0
155.198995,0.262,19.539038,0.095,7.957,0.163,3,8.312,0.095,3,NA,NA,0,8.179,0.048,3,7.981,0.031,3,7.906,0.084,3,7.976,0.109,3,NA,NA,0
155.201331,0.538,19.606337,0.381,16.67,0.113,2,17.4,0.052,2,NA,NA,0,17.027,0.058,3,16.413,0.056,3,16.324,0.265,3,NA,NA,0,NA,NA,0
155.205596,1,20.23617,0.895,NA,NA,0,NA,NA,0,NA,NA,0,18.422,0.231,2,16.749,0.016,2,15.991,0.104,2,NA,NA,0,NA,NA,0
155.209683,0.442,19.888506,0.347,15.491,0.036,6,16.086,0.169,6,NA,NA,0,15.738,0.052,5,15.317,0.072,5,15.085,0.09,5,NA,NA,0,NA,NA,0
155.219147,0.222,19.706962,0.418,NA,NA,0,NA,NA,0,NA,NA,0,18.111,0.144,1,17.371,0.182,1,16.361,0.209,1,NA,NA,0,NA,NA,0
155.221746,0.167,19.658965,0.237,17.513,0.199,1,18.106,0.217,1,NA,NA,0,17.534,0.063,2,17.255,0.041,2,NA,NA,0,NA,NA,0,NA,NA,0
155.222847,0.496,20.252825,0.41,NA,NA,0,NA,NA,0,NA,NA,0,17.681,0.056,2,16.937,0.024,2,16.459,0.247,1,NA,NA,0,NA,NA,0
155.228938,0.151,20.057564,0.197,12.6,0.027,6,13.322,0.207,6,NA,NA,0,13.022,0.448,6,12.154,0.487,6,12.093,0.303,6,12.214,0.133,3,NA,NA,0
155.231339,0.543,20.252796,0.246,14.905,0.027,6,15.54,0.232,6,NA,NA,0,15.215,0.123,5,14.705,0.029,5,14.544,0.041,5,NA,NA,0,NA,NA,0
155.23305,0.847,19.834263,0.957,NA,NA,0,NA,NA,0,NA,NA,0,18.21,0.197,2,17.252,0.169,2,NA,NA,0,NA,NA,0,NA,NA,0
155.234001,1.142,20.155945,0.712,16.989,0.126,2,17.159,0.234,2,NA,NA,0,17.106,0.014,2,16.473,0.116,2,NA,NA,0,NA,NA,0,NA,NA,0
155.234285,0.571,19.90306,0.71,15.584,0.031,6,16.159,0.17,6,NA,NA,0,15.823,0.052,5,15.407,0.038,5,15.208,0.054,5,NA,NA,0,NA,NA,0
155.240742,0.267,19.933859,0.312,13.312,0.026,6,13.924,0.198,6,NA,NA,0,13.673,0.415,6,13.132,0.032,5,12.895,0.29,6,13.015,0.126,3,NA,NA,0
155.240909,0.428,19.74699,0.157,16.038,0.004,3,16.804,0.064,3,NA,NA,0,16.43,0.054,5,15.781,0.075,5,15.567,0.057,5,NA,NA,0,NA,NA,0
155.246902,0.428,19.49288,0.134,NA,NA,0,NA,NA,0,NA,NA,0,18.379,0.178,1,16.973,0.133,1,16.392,0.221,1,NA,NA,0,NA,NA,0
155.247955,0.793,19.743696,0.468,15.916,0.081,4,16.586,0.246,4,NA,NA,0,16.261,0.063,3,15.647,0.01,3,15.494,0.077,3,NA,NA,0,NA,NA,0
155.248173,0.663,20.115514,0.47,15.443,0.07,6,16.711,0.29,6,NA,NA,0,16.065,0.052,5,14.933,0.033,5,14.477,0.039,5,NA,NA,0,NA,NA,0
155.249441,0.543,19.75617,0.301,14.178,0.045,6,14.814,0.19,6,NA,NA,0,14.56,0.445,6,13.754,0.498,6,13.724,0.334,6,NA,NA,0,NA,NA,0
155.251171,0.298,19.54257,0.272,14.856,0.034,6,15.584,0.195,6,NA,NA,0,15.198,0.051,5,14.595,0.039,5,14.379,0.05,5,NA,NA,0,NA,NA,0
155.252456,0.346,19.881269,0.318,15.073,0.057,6,15.959,0.244,6,NA,NA,0,15.53,0.084,5,14.807,0.038,5,14.608,0.073,5,NA,NA,0,NA,NA,0
155.254125,0.789,19.938239,0.687,16.549,0.105,3,17.258,0.199,3,NA,NA,0,16.813,0.093,5,16.388,0.07,5,16.035,0.079,4,NA,NA,0,NA,NA,0
155.254727,0.541,20.183599,0.239,NA,NA,0,NA,NA,0,NA,NA,0,17.914,0.124,1,16.994,0.146,1,NA,NA,0,NA,NA,0,NA,NA,0
155.258674,0.469,19.751088,0.796,NA,NA,0,NA,NA,0,NA,NA,0,17.668,0.053,2,16.57,0.009,2,16.227,0.001,2,NA,NA,0,NA,NA,0
155.259361,0.351,19.874087,0.534,13.617,0.033,6,14.329,0.2,6,NA,NA,0,14.046,0.446,6,13.183,0.494,6,13.135,0.34,6,13.318,0.189,3,NA,NA,0
155.261821,1.131,20.031271,0.457,17.151,0.15,1,17.746,0.165,1,NA,NA,0,17.437,0.051,2,17.31,0.079,2,NA,NA,0,NA,NA,0,NA,NA,0
155.262264,0.368,19.815932,0.203,15.001,0.028,6,15.647,0.044,5,NA,NA,0,15.31,0.061,5,14.845,0.041,5,14.703,0.052,5,NA,NA,0,NA,NA,0
155.265635,0.514,19.918593,0.461,16.919,0.129,1,18.145,0.24,1,NA,NA,0,17.629,0.092,2,16.572,0.041,2,16.087,0.165,2,NA,NA,0,NA,NA,0
155.271389,0.392,19.802957,0.762,NA,NA,0,NA,NA,0,NA,NA,0,18.216,0.168,1,17.427,0.212,1,NA,NA,0,NA,NA,0,NA,NA,0
155.275257,0.996,19.818265,0.537,NA,NA,0,NA,NA,0,NA,NA,0,18.334,0.178,1,16.924,0.138,1,15.594,0.118,1,NA,NA,0,NA,NA,0
