RA,Dec,Target,RASexa,DecSexa,Label,Vmag,verr,note,bminusv,bminusverr,ra_epoch2000,teff_val,hackerr,parallax,phot_bp_mean_flux,phot_bp_mean_flux_error,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist
155.19932556,19.53905487,000-BBR-383,10:20:47.84,19:32:20.6,80,8.048,0.013,17,0.336,0.041,155.1990902238046,7055.21,0.03391317531051768,10.0209,7509370.0,14880.5,19.5389943099657,0.002,0.002,0.0,624679972178496256,155.1989329535,0.0525,19.53896977331,0.0627,0.0545,-34.424,0.1,-5.699,0.107,false,1.23169E7,7037.79,7.962109,8.16238,6770790.0,21728.3,7.685322,0.477058,,,0,0.2335,0.143,1.46,4.767,0.827653
154.44033813,20.00341606,000-BBR-316,10:17:45.68,20:00:12.3,81,8.055,0.033,1,1.565,0.064,154.4402688441144,3925.49,0.013181033780395108,1.6704,6286530.0,21838.9,20.0034251192135,0.002,0.002,90.0,625512066257955712,154.44020960636,0.0558,20.00341937618,0.0472,0.066,-12.928,0.11,-1.334,0.099,false,2.07899E7,14269.8,7.393735,8.35536,2.09789E7,82433.1,6.457465,1.897895,-10.95,0.16,8,0.482,0.307,49.09,515.565,0.23664
155.02262878,19.41755676,000-BBR-365,10:20:05.43,19:25:03.2,102,10.241,0.062,16,0.33,0.119,155.0225908073536,6341.26,0.9179198467700157,3.2719,964653.0,1025.14,19.4175742718745,0.001,0.001,90.0,624671863280244096,155.02253495703,0.043,19.41754469018,0.0428,0.05,-12.234,0.081,-6.871,0.076,false,1665970.0,746.911,10.134195,10.39046,1005250.0,1678.05,9.756236,0.634224,-6.1,0.5,5,,,2.03,6.028,0.143514
154.90141296,19.89494514,000-BNZ-259,10:19:36.34,19:53:41.8,104,10.409,0.127,29,1.205,0.343,154.9014047310805,4651.79,0.9295444739953561,1.4566,689664.0,861.358,19.8950013546196,0.001,0.001,90.0,625453856566097024,154.90136905932,0.0414,19.8948948111,0.0371,0.0482,-7.791,0.075,-24.746,0.069,false,1730330.0,958.782,10.09304,10.754794,1477850.0,2569.6,9.337848,1.416946,31.88,0.43,4,0.4305,0.207,9.63,39.107,0.204281
154.79208374,19.76813889,000-BNZ-258,10:19:10.10,19:46:05.3,118,11.849,0.036,29,0.423,0.222,154.7919545854982,6541.0,0.3620157386629443,1.7014,217190.0,774.562,19.7681310240651,0.001,0.001,90.0,625451039067553152,154.79204553991,0.0422,19.76805458107,0.0405,0.0493,19.88,0.081,-17.755,0.072,false,377750.0,133.787,11.745355,12.00929,235253.0,204.263,11.333082,0.676208,-60.22,1.42,3,,,1.75,5.048,0.438471
154.88850403,19.92866707,000-BBR-357,10:19:33.24,19:55:43.2,121,12.132,0.03,29,0.8,0.313,154.8884011875201,4987.0,1.9811471534213692,1.9725,151610.0,276.634,19.9286374830315,0.001,0.001,90.0,625478153196207488,154.88843267192,0.0382,19.9286311474,0.0351,0.0443,6.875,0.071,-1.472,0.065,false,332041.0,68.5048,11.885387,12.399571,254508.0,272.901,11.247665,1.151906,-1.73,0.51,4,,,2.59,3.732,0.363995
154.92512512,19.99913979,000-BNZ-257,10:19:42.03,19:59:56.9,122,12.232,0.033,29,0.539,0.229,154.9250648308523,5829.33,1.1519610641880356,2.1567,149480.0,360.224,19.9992009676343,0.002,0.002,0.0,625479007894580096,154.92508087121,0.0572,19.99908748545,0.0564,0.0605,3.501,0.102,-26.357,0.104,false,274887.0,78.6421,12.09048,12.414928,182176.0,324.753,11.610694,0.804234,,,0,0.712,0.3553,1.5,2.327,0.30017
