Target,RASexa,Label,main_id,RA,DecSexa,Dec,Vmag,verr,note,bminusv,bminusverr,ra_x,dec_x,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R_x,J,H,K,u,g,r_xa,i,z,angDist
000-BBR-383,10:20:47.84,80,HD  89618,155.19932556,19:32:20.6,19.53905487,8.048,0.013,17,0.336,0.041,155.1990902238,19.53899431,0.0,0.0,90.0,18,10 20 47.78165,+19 32 20.3795,A,2018yCat.1345....0G,Star,*  |IR,,,,,F0,,10.0209,0.0545,-34.424,-5.699,0.1,0.107,90,,,,8.4,8.06,8.1,7.347,7.24,7.18,,,,,,0.827653
000-BBR-316,10:17:45.68,81,** A 2149,154.44033813,20:00:12.3,20.00341606,8.055,0.033,1,1.565,0.064,154.4402916667,20.0034166667,,,172.0,0,"10 17 45.67   ","+20 00 12.3   ",D,2001AJ....122.3466M,**,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157192
000-BBR-365,10:20:05.43,102,BD+20  2468,155.02262878,19:25:03.2,19.41755676,10.241,0.062,16,0.33,0.119,155.0225908074,19.4175742719,0.0,0.0,90.0,2,10 20 05.42179,+19 25 03.2674,A,2018yCat.1345....0G,Star,IR |*,-6.1,0.5,-2.03E-5,1.7E-6,,,3.2719,0.05,-12.234,-6.871,0.081,0.076,90,,,,10.66,10.33,,9.335,9.136,9.072,,,,,,0.143514
000-BNZ-259,10:19:36.34,104,BD+20  2464,154.90141296,19:53:41.8,19.89494514,10.409,0.127,29,1.205,0.343,154.9014047311,19.8950013546,0.0,0.0,90.0,21,10 19 36.33714,+19 53 42.0049,A,2018yCat.1345....0G,Star,** |*  |IR,31.5,0.04,1.051E-4,1.0E-7,G5V,,1.4566,0.0482,-7.791,-24.746,0.075,0.069,90,,,,11.67,10.48,8.6,8.283,7.686,7.533,,,,,,0.204281
000-BNZ-258,10:19:10.10,118,TYC 1423-118-1,154.79208374,19:46:05.3,19.76813889,11.849,0.036,29,0.423,0.222,154.7919545855,19.7681310241,0.0,0.0,90.0,2,10 19 10.06910,+19 46 05.2717,A,2018yCat.1345....0G,Star,*  |IR,-60.22,1.42,-2.009E-4,4.7E-6,,,1.7014,0.0493,19.88,-17.755,0.081,0.072,90,,,,12.1,12.07,12.4,10.847,10.612,10.579,,,,,,0.438471
000-BNZ-257,10:19:42.03,122,TYC 1423-95-1,154.92512512,19:59:56.9,19.99913979,12.232,0.033,29,0.539,0.229,154.9250648309,19.9992009676,0.0,0.0,90.0,2,10 19 42.01556,+19 59 57.1235,A,2018yCat.1345....0G,Star,*  |IR,,,,,,,2.1567,0.0605,3.501,-26.357,0.102,0.104,90,,,,12.58,12.0,12.8,11.051,10.732,10.673,,,,,,0.30017
