_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
341.542115000	+44.284236400	672-113278	341.5421150	+44.2842364	42	12.485	0	0	24.8	-2.0	10.643	9.992	13.730	12.700	12.330	11.951	0	0	0	0	1	0	0	1	0
341.554533900	+44.278953400	672-113284	341.5545339	+44.2789534	16	11.694	0	0	-8.9	-5.5	11.086	11.019	11.778	11.575	11.614	11.645	3	1	0	1	1	0	0	1	0
341.556668600	+44.303642500	672-113286	341.5566686	+44.3036425	54	15.791	0	0	5.8	-2.2	13.700	12.932	17.366	16.159	15.568	15.129	0	0	0	0	0	0	0	1	0
341.563017400	+44.344425600	672-113292	341.5630174	+44.3444256	19	11.255	0	0	10.5	-2.2	8.916	7.988	13.153	11.651	11.118	10.539	3	1	0	1	1	0	0	1	0
341.571664500	+44.373552300	672-113296	341.5716645	+44.3735523	72	15.411	0	0	-0.7	-3.0	14.839	14.451	16.909	16.032			0	0	0	0	0	0	0	1	0
341.580498300	+44.253315900	672-113306	341.5804983	+44.2533159	21	13.525	0	0	1.5	-9.0	11.923	11.392	14.670	13.608	13.319	12.996	0	0	0	0	1	0	0	1	0
341.591838000	+44.355287800	672-113310	341.5918380	+44.3552878	65	15.527	0	0	-12.4	-13.1	13.652	12.964	16.845	15.933	15.280	15.027	0	0	0	0	0	0	0	1	0
341.592154200	+44.364595600	672-113311	341.5921542	+44.3645956	34	14.410	0	0	6.7	6.7	13.084	12.768	14.857	14.282	14.159	13.978	0	0	0	0	1	0	0	1	0
341.598251800	+44.325573100	672-113316	341.5982518	+44.3255731	93	15.986	0	0	-0.5	-5.0	14.645	14.287	16.843	15.950	15.875	15.591	0	0	0	0	0	0	0	1	0
341.604094200	+44.245412300	672-113319	341.6040942	+44.2454123	58	15.128	0	0	-6.3	-5.1	13.470	12.924	16.194	15.244	14.862	14.729	0	0	0	0	0	0	0	1	0
341.604101500	+44.294278100	672-113320	341.6041015	+44.2942781	41	14.621	0	0	4.6	-12.0	12.639	11.950	15.934	14.880	14.400	13.986	0	0	0	0	0	0	0	1	0
341.607167700	+44.253304200	672-113323	341.6071677	+44.2533042	78	15.887	0	0	5.1	3.7	14.523	14.078	16.992	16.251	15.883		0	0	0	0	0	0	0	1	0
