_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
341.432959200	+44.460152300	673-118141	341.4329592	+44.4601523	49	14.757	0	0	21.7	7.3	13.344	12.912	15.839	14.997	14.684	14.386	0	0	0	0	0	0	0	3	0
341.444232400	+44.429537800	673-118146	341.4442324	+44.4295378	46	14.861	0	0	2.5	-4.0	13.615	13.180	15.845	15.048	14.838	14.617	0	0	0	0	0	0	0	1	0
341.445987700	+44.470638700	673-118150	341.4459877	+44.4706387	135	16.266	0	0	-35.3	-3.2	15.029	14.722	16.773	15.872	15.684	15.361	0	0	0	0	0	0	0	7	0
341.451927700	+44.424298400	673-118155	341.4519277	+44.4242984	39	13.264	0	0	-2.6	-0.7	12.002	11.673	14.021	13.361	13.160	12.950	0	0	0	0	1	0	0	1	0
341.454463900	+44.413557000	673-118158	341.4544639	+44.4135570	44	14.456	0	0	7.1	-11.3	13.009	12.629	15.269	14.508	14.246	14.047	0	0	0	0	1	0	0	1	0
341.460743600	+44.465663400	673-118162	341.4607436	+44.4656634	60	15.596	0	1	-0.1	0.6	13.727	13.062	17.074	15.825	15.454		0	0	0	0	0	0	0	2	0
341.467362400	+44.400677000	673-118165	341.4673624	+44.4006770	58	15.366	0	0	0.6	2.4	13.490	12.838	16.567	15.517	15.075	14.854	0	0	0	0	0	0	0	3	0
341.473435300	+44.513681400	673-118168	341.4734353	+44.5136814	39	14.820	0	0	2.8	6.5	13.534	13.081	15.811	14.986	14.695	14.512	0	0	0	0	0	0	0	7	0
341.488206500	+44.435176400	673-118172	341.4882065	+44.4351764	44	14.684	0	0	4.3	4.5	13.156	12.614	15.749	14.889	14.518	14.257	0	0	0	0	0	0	0	1	0
341.516067400	+44.419277800	673-118187	341.5160674	+44.4192778	78	16.154	0	0	15.7	-1.8	14.540	14.012	16.941	16.125	15.872	15.681	0	0	0	0	0	0	0	1	0
